CMDLINE python mtest_matplotlib.py
MEM 377.164062 1650176460.0955
MEM 377.164062 1650176460.2066
MEM 377.164062 1650176460.3175
MEM 377.164062 1650176460.4295
MEM 377.164062 1650176460.5395
MEM 377.164062 1650176460.6515
MEM 377.605469 1650176460.7625
MEM 377.605469 1650176460.8735
MEM 377.605469 1650176460.9845
MEM 377.605469 1650176461.0955
MEM 377.605469 1650176461.2075
MEM 377.605469 1650176461.3155
MEM 377.605469 1650176461.4275
MEM 377.605469 1650176461.5385
MEM 377.605469 1650176461.6485
MEM 377.605469 1650176461.7595
MEM 377.605469 1650176461.8716
MEM 386.550781 1650176461.9835
MEM 515.078125 1650176462.0955
MEM 517.816406 1650176462.2055
MEM 517.816406 1650176462.3165
MEM 517.816406 1650176462.4265
MEM 517.816406 1650176462.5375
MEM 517.968750 1650176462.6495
MEM 517.968750 1650176462.7615
MEM 517.968750 1650176462.8725
MEM 517.968750 1650176462.9825
MEM 517.968750 1650176463.0945
MEM 517.968750 1650176463.2055
MEM 518.414062 1650176463.3165
MEM 518.414062 1650176463.4265
MEM 518.414062 1650176463.5365
MEM 518.414062 1650176463.6475
MEM 518.414062 1650176463.7575
MEM 518.414062 1650176463.8695
MEM 518.414062 1650176463.9795
MEM 518.414062 1650176464.0915
MEM 518.414062 1650176464.2015
MEM 518.414062 1650176464.3135
MEM 518.414062 1650176464.4255
MEM 526.386719 1650176464.5355
MEM 637.234375 1650176464.6465
MEM 655.835938 1650176464.7575
MEM 655.835938 1650176464.8685
MEM 655.835938 1650176464.9795
MEM 655.835938 1650176465.0895
MEM 655.996094 1650176465.2005
MEM 658.746094 1650176465.3115
MEM 658.746094 1650176465.4235
MEM 658.746094 1650176465.5335
MEM 658.746094 1650176465.6455
MEM 658.746094 1650176465.7565
MEM 659.183594 1650176465.8675
MEM 659.183594 1650176465.9775
MEM 659.183594 1650176466.0885
MEM 659.183594 1650176466.1975
MEM 659.183594 1650176466.3085
MEM 659.183594 1650176466.4195
